name,start_time,duration,"data","error"
"Async Serial",1.20404336,0.00098958,"ù","framing"
"Async Serial",1.20506444,0.00098958,"A","framing"
"Async Serial",1.20607702,0.00098958,"¯",
"Async Serial",1.20707256,0.00098958,".","framing"
"Async Serial",1.20809366,0.00098958,"M","framing"
"Async Serial",1.20911474,0.00098958,"<","framing"
"Async Serial",1.21013582,0.00098958,"ÿ",
"Async Serial",1.30507216,0.00098958,"0",
"Async Serial",1.30607622,0.00098958,"ù","framing"
"Async Serial",1.3070888,0.00098958,"­","framing"
"Async Serial",1.30810988,0.00098958,"$",
"Async Serial",1.30910544,0.00098958,"}","framing"
"Async Serial",1.3101095,0.00098958,"Ö","framing"
"Async Serial",1.31111356,0.00098958,"(",
"Async Serial",1.31211764,0.00098958,"ý",
"Async Serial",1.50721164,0.00098958,"0",
"Async Serial",1.50821572,0.00098958,"y","framing"
"Async Serial",1.5092368,0.00098958,"q","framing"
"Async Serial",1.51024936,0.00098958,"%",
"Async Serial",1.51124492,0.00098958,"L","framing"
"Async Serial",1.512266,0.00098958,"\","framing"
"Async Serial",1.5132871,0.00098958,",","framing"
"Async Serial",1.51429966,0.00098958,"ü",
"Async Serial",1.60924558,0.00098958,"0",
"Async Serial",1.61024964,0.00098958,"y","framing"
"Async Serial",1.61127072,0.00098958,"q","framing"
"Async Serial",1.6122833,0.00098958,"%",
"Async Serial",1.61327886,0.00098958,"L","framing"
"Async Serial",1.61429994,0.00098958,"\","framing"
"Async Serial",1.61532102,0.00098958,",","framing"
"Async Serial",1.6163336,0.00098958,"ü",
"Async Serial",1.62118376,0.00098958,"0",
"Async Serial",1.62218782,0.00098958,"y","framing"
"Async Serial",1.6232089,0.00098958,"q","framing"
"Async Serial",1.62422148,0.00098958,"%",
"Async Serial",1.62521704,0.00098958,"L","framing"
"Async Serial",1.62623812,0.00098958,"\","framing"
"Async Serial",1.6272592,0.00098958,",","framing"
"Async Serial",1.62827178,0.00098958,"ü",
"Async Serial",1.72321662,0.00098958,"0",
"Async Serial",1.72422068,0.00098958,"y","framing"
"Async Serial",1.72524176,0.00098958,"q","framing"
"Async Serial",1.72625434,0.00098958,"%",
"Async Serial",1.7272499,0.00098958,"L","framing"
"Async Serial",1.72827098,0.00098958,"\","framing"
"Async Serial",1.72929206,0.00098958,",","framing"
"Async Serial",1.73030464,0.00098958,".",
"Async Serial",1.7313002,0.00098958,"0",
"Async Serial",1.73230426,0.00098958,"Q","framing"
"Async Serial",1.73332534,0.00098958,"Q","framing"
"Async Serial",1.73433792,0.00098958,"4","framing"
"Async Serial",1.73536752,0.00098958,"ù","framing"
"Async Serial",1.73638008,0.00098958,"%",
"Async Serial",1.73737564,0.00098958,"","framing"
"Async Serial",1.7383797,0.00098958,".","framing"
"Async Serial",1.73938378,0.00098958,"p",
"Async Serial",1.74038784,0.00098958,"Ù","framing"
"Async Serial",1.74140042,0.00098958,"¤","framing"
"Async Serial",1.74243,0.00098958,"Ù","framing"
"Async Serial",1.7434511,0.00098958,"q","framing"
"Async Serial",1.74446366,0.00098958,"7",
"Async Serial",1.79000402,0.00098958,"0",
"Async Serial",1.79100808,0.00098958,"y","framing"
"Async Serial",1.79202916,0.00098958,"q",
"Async Serial",1.79304174,0.00098958,".","framing"
"Async Serial",1.79406282,0.00098958,"%","framing"
"Async Serial",1.79509242,0.00098958,"É","framing"
"Async Serial",1.7961135,0.00098958,"Ñ","framing"
"Async Serial",1.79713458,0.00098958,"ý",
"Async Serial",1.89203794,0.00098958,"0",
"Async Serial",1.89304202,0.00098958,"ù","framing"
"Async Serial",1.8940631,0.00098958,"A","framing"
"Async Serial",1.89507568,0.00098958,"¯",
"Async Serial",1.89607122,0.00098958,".","framing"
"Async Serial",1.89709232,0.00098958,"M","framing"
"Async Serial",1.8981134,0.00098958,"<","framing"
"Async Serial",1.89913448,0.00098958,"ÿ",
"Async Serial",1.99407188,0.00098958,"0",
"Async Serial",1.99507594,0.00098958,"ù","framing"
"Async Serial",1.99608852,0.00098958,"­","framing"
"Async Serial",1.9971096,0.00098958,"$",
"Async Serial",1.99810516,0.00098958,"}","framing"
"Async Serial",1.99910922,0.00098958,"Ö","framing"
"Async Serial",2.0001133,0.00098958,"(",
"Async Serial",2.00111736,0.00098958,"ý",
"Async Serial",2.19621352,0.00098958,"0",
"Async Serial",2.19721758,0.00098958,"y","framing"
"Async Serial",2.19823868,0.00098958,"q","framing"
"Async Serial",2.19925124,0.00098958,"%",
"Async Serial",2.2002468,0.00098958,"L","framing"
"Async Serial",2.20126788,0.00098958,"\","framing"
"Async Serial",2.20228898,0.00098958,",","framing"
"Async Serial",2.20330154,0.00098958,"ü",
"Async Serial",2.29825066,0.00098958,"0",
"Async Serial",2.29925472,0.00098958,"y","framing"
"Async Serial",2.3002758,0.00098958,"q","framing"
"Async Serial",2.30128838,0.00098958,"%",
"Async Serial",2.30228394,0.00098958,"L","framing"
"Async Serial",2.30330502,0.00098958,"\","framing"
"Async Serial",2.3043261,0.00098958,",","framing"
"Async Serial",2.30533868,0.00098958,"ü",
"Async Serial",2.31018884,0.00098958,"0",
"Async Serial",2.3111929,0.00098958,"y","framing"
"Async Serial",2.31221398,0.00098958,"q","framing"
"Async Serial",2.31322656,0.00098958,"%",
"Async Serial",2.31422212,0.00098958,"L","framing"
"Async Serial",2.3152432,0.00098958,"\","framing"
"Async Serial",2.31626428,0.00098958,",","framing"
"Async Serial",2.31727686,0.00098958,"ü",
"Async Serial",2.41222172,0.00098958,"0",
"Async Serial",2.41322578,0.00098958,"y","framing"
"Async Serial",2.41424686,0.00098958,"q","framing"
"Async Serial",2.41525944,0.00098958,"%",
"Async Serial",2.416255,0.00098958,"L","framing"
"Async Serial",2.41727608,0.00098958,"\","framing"
"Async Serial",2.41829716,0.00098958,",","framing"
"Async Serial",2.41930974,0.00098958,".",
"Async Serial",2.4203053,0.00098958,"0",
"Async Serial",2.42130936,0.00098958,"Q","framing"
"Async Serial",2.42233044,0.00098958,"Q","framing"
"Async Serial",2.42334302,0.00098958,"4","framing"
"Async Serial",2.42437262,0.00098958,"ù","framing"
"Async Serial",2.42538518,0.00098958,"%",
"Async Serial",2.42638074,0.00098958,"","framing"
"Async Serial",2.42738482,0.00098958,".","framing"
"Async Serial",2.42838888,0.00098958,"p",
"Async Serial",2.42939294,0.00098958,"Ù","framing"
"Async Serial",2.43040552,0.00098958,"¤","framing"
"Async Serial",2.4314351,0.00098958,"Ù","framing"
"Async Serial",2.4324562,0.00098958,"q","framing"
"Async Serial",2.43346876,0.00098958,"7",
"Async Serial",2.47901124,0.00098958,"0",
"Async Serial",2.4800153,0.00098958,"y","framing"
"Async Serial",2.4810364,0.00098958,"q",
"Async Serial",2.48204896,0.00098958,".","framing"
"Async Serial",2.48307006,0.00098958,"%","framing"
"Async Serial",2.48409964,0.00098958,"É","framing"
"Async Serial",2.48512072,0.00098958,"Ñ","framing"
"Async Serial",2.48614182,0.00098958,"ý",
"Async Serial",2.58104518,0.00098958,"0",
"Async Serial",2.58204926,0.00098958,"ù","framing"
"Async Serial",2.58307034,0.00098958,"A","framing"
"Async Serial",2.5840829,0.00098958,"¯",
"Async Serial",2.58507846,0.00098958,".","framing"
"Async Serial",2.58609956,0.00098958,"M","framing"
"Async Serial",2.58712064,0.00098958,"<","framing"
"Async Serial",2.58814172,0.00098958,"ÿ",
"Async Serial",2.68307914,0.00098958,"0",
"Async Serial",2.6840832,0.00098958,"ù","framing"
"Async Serial",2.68509578,0.00098958,"­","framing"
"Async Serial",2.68611686,0.00098958,"$",
"Async Serial",2.68711242,0.00098958,"}","framing"
"Async Serial",2.68811648,0.00098958,"Ö","framing"
"Async Serial",2.68912054,0.00098958,"(",
"Async Serial",2.69012462,0.00098958,"ý",
"Async Serial",2.88521654,0.00098958,"0",
"Async Serial",2.88622062,0.00098958,"y","framing"
"Async Serial",2.8872417,0.00098958,"q","framing"
"Async Serial",2.88825428,0.00098958,"%",
"Async Serial",2.88924982,0.00098958,"L","framing"
"Async Serial",2.89027092,0.00098958,"\","framing"
"Async Serial",2.891292,0.00098958,",","framing"
"Async Serial",2.89230458,0.00098958,"ü",
"Async Serial",2.9872505,0.00098958,"0",
"Async Serial",2.98825456,0.00098958,"y","framing"
"Async Serial",2.98927564,0.00098958,"q","framing"
"Async Serial",2.99028822,0.00098958,"%",
"Async Serial",2.99128378,0.00098958,"L","framing"
"Async Serial",2.99230486,0.00098958,"\","framing"
"Async Serial",2.99332594,0.00098958,",","framing"
"Async Serial",2.99433852,0.00098958,"ü",
"Async Serial",2.99918868,0.00098958,"0",
"Async Serial",3.00019274,0.00098958,"y","framing"
"Async Serial",3.00121382,0.00098958,"q","framing"
"Async Serial",3.0022264,0.00098958,"%",
"Async Serial",3.00322196,0.00098958,"L","framing"
"Async Serial",3.00424304,0.00098958,"\","framing"
"Async Serial",3.00526412,0.00098958,",","framing"
"Async Serial",3.0062767,0.00098958,"ü",
"Async Serial",3.10122262,0.00098958,"0",
"Async Serial",3.1022267,0.00098958,"y","framing"
"Async Serial",3.10324778,0.00098958,"q","framing"
"Async Serial",3.10426036,0.00098958,"%",
"Async Serial",3.1052559,0.00098958,"L","framing"
"Async Serial",3.106277,0.00098958,"\","framing"
"Async Serial",3.10729808,0.00098958,",","framing"
"Async Serial",3.10831066,0.00098958,".",
"Async Serial",3.1093062,0.00098958,"0",
"Async Serial",3.11031028,0.00098958,"Q","framing"
"Async Serial",3.11133136,0.00098958,"Q","framing"
"Async Serial",3.11234394,0.00098958,"4","framing"
"Async Serial",3.11337352,0.00098958,"ù","framing"
"Async Serial",3.1143861,0.00098958,"%",
"Async Serial",3.11538166,0.00098958,"","framing"
"Async Serial",3.11638572,0.00098958,".","framing"
"Async Serial",3.11738978,0.00098958,"p",
"Async Serial",3.11839386,0.00098958,"Ù","framing"
"Async Serial",3.11940642,0.00098958,"¤","framing"
"Async Serial",3.12043602,0.00098958,"Ù","framing"
"Async Serial",3.1214571,0.00098958,"q","framing"
"Async Serial",3.12246968,0.00098958,"7",
"Async Serial",3.16800792,0.00098958,"0",
"Async Serial",3.16901198,0.00098958,"y","framing"
"Async Serial",3.17003306,0.00098958,"q",
"Async Serial",3.17104564,0.00098958,".","framing"
"Async Serial",3.17206672,0.00098958,"%","framing"
"Async Serial",3.17309632,0.00098958,"É","framing"
"Async Serial",3.1741174,0.00098958,"Ñ","framing"
"Async Serial",3.17513848,0.00098958,"ý",
"Async Serial",3.27004826,0.00098958,"0",
"Async Serial",3.27105232,0.00098958,"ù","framing"
"Async Serial",3.2720734,0.00098958,"A","framing"
"Async Serial",3.27308598,0.00098958,"¯",
"Async Serial",3.27408154,0.00098958,".","framing"
"Async Serial",3.27510262,0.00098958,"M","framing"
"Async Serial",3.2761237,0.00098958,"<","framing"
"Async Serial",3.27714478,0.00098958,"ÿ",
"Async Serial",3.37208222,0.00098958,"0",
"Async Serial",3.37308628,0.00098958,"ù","framing"
"Async Serial",3.37409886,0.00098958,"­","framing"
"Async Serial",3.37511994,0.00098958,"$",
"Async Serial",3.3761155,0.00098958,"}","framing"
"Async Serial",3.37711958,0.00098958,"Ö","framing"
"Async Serial",3.37812364,0.00098958,"(",
"Async Serial",3.3791277,0.00098958,"ý",
"Async Serial",3.57421968,0.00098958,"0",
"Async Serial",3.57522374,0.00098958,"y","framing"
"Async Serial",3.57624482,0.00098958,"q","framing"
"Async Serial",3.5772574,0.00098958,"%",
"Async Serial",3.57825296,0.00098958,"L","framing"
"Async Serial",3.57927404,0.00098958,"\","framing"
"Async Serial",3.58029512,0.00098958,",","framing"
"Async Serial",3.5813077,0.00098958,"ü",
"Async Serial",3.67625258,0.00098958,"0",
"Async Serial",3.67725664,0.00098958,"y","framing"
"Async Serial",3.67827772,0.00098958,"q","framing"
"Async Serial",3.6792903,0.00098958,"%",
"Async Serial",3.68028586,0.00098958,"L","framing"
"Async Serial",3.68130694,0.00098958,"\","framing"
"Async Serial",3.68232802,0.00098958,",","framing"
"Async Serial",3.6833406,0.00098958,"ü",
"Async Serial",3.68819076,0.00098958,"0",
"Async Serial",3.68919482,0.00098958,"y","framing"
"Async Serial",3.6902159,0.00098958,"q","framing"
"Async Serial",3.69122848,0.00098958,"%",
"Async Serial",3.69222404,0.00098958,"L","framing"
"Async Serial",3.69324512,0.00098958,"\","framing"
"Async Serial",3.6942662,0.00098958,",","framing"
"Async Serial",3.69527878,0.00098958,"ü",
"Async Serial",3.79022578,0.00098958,"0",
"Async Serial",3.79122986,0.00098958,"y","framing"
"Async Serial",3.79225094,0.00098958,"q","framing"
"Async Serial",3.7932635,0.00098958,"%",
"Async Serial",3.79425906,0.00098958,"L","framing"
"Async Serial",3.79528014,0.00098958,"\","framing"
"Async Serial",3.79630124,0.00098958,",","framing"
"Async Serial",3.7973138,0.00098958,".",
"Async Serial",3.79830936,0.00098958,"0",
"Async Serial",3.79931342,0.00098958,"Q","framing"
"Async Serial",3.80033452,0.00098958,"Q","framing"
"Async Serial",3.80134708,0.00098958,"4","framing"
"Async Serial",3.80237668,0.00098958,"ù","framing"
"Async Serial",3.80338926,0.00098958,"%",
"Async Serial",3.80438482,0.00098958,"","framing"
"Async Serial",3.80538888,0.00098958,".","framing"
"Async Serial",3.80639294,0.00098958,"p",
"Async Serial",3.807397,0.00098958,"Ù","framing"
"Async Serial",3.80840958,0.00098958,"¤","framing"
"Async Serial",3.80943918,0.00098958,"Ù","framing"
"Async Serial",3.81046026,0.00098958,"q","framing"
"Async Serial",3.81147284,0.00098958,"7",
"Async Serial",3.85701426,0.00098958,"0",
"Async Serial",3.85801834,0.00098958,"y","framing"
"Async Serial",3.85903942,0.00098958,"q",
"Async Serial",3.86005198,0.00098958,".","framing"
"Async Serial",3.86107308,0.00098958,"%","framing"
"Async Serial",3.86210266,0.00098958,"É","framing"
"Async Serial",3.86312376,0.00098958,"Ñ","framing"
"Async Serial",3.86414484,0.00098958,"ý",
"Async Serial",3.95904826,0.00098958,"0",
"Async Serial",3.96005232,0.00098958,"ù","framing"
"Async Serial",3.9610734,0.00098958,"A","framing"
"Async Serial",3.96208598,0.00098958,"¯",
"Async Serial",3.96308154,0.00098958,".","framing"
"Async Serial",3.96410262,0.00098958,"M","framing"
"Async Serial",3.9651237,0.00098958,"<","framing"
"Async Serial",3.96614478,0.00098958,"ÿ",
"Async Serial",4.06108862,0.00098958,"0",
"Async Serial",4.06209268,0.00098958,"ù","framing"
"Async Serial",4.06310524,0.00098958,"­","framing"
"Async Serial",4.06412634,0.00098958,"$",
"Async Serial",4.0651219,0.00098958,"}","framing"
"Async Serial",4.06612596,0.00098958,"Ö","framing"
"Async Serial",4.06713002,0.00098958,"(",
"Async Serial",4.06813408,0.00098958,"ý",
"Async Serial",4.26322714,0.00098958,"0",
"Async Serial",4.2642312,0.00098958,"y","framing"
"Async Serial",4.26525228,0.00098958,"q","framing"
"Async Serial",4.26626486,0.00098958,"%",
"Async Serial",4.26726042,0.00098958,"L","framing"
"Async Serial",4.2682815,0.00098958,"\","framing"
"Async Serial",4.26930258,0.00098958,",","framing"
"Async Serial",4.27031516,0.00098958,"ü",
"Async Serial",4.36526006,0.00098958,"0",
"Async Serial",4.36626412,0.00098958,"y","framing"
"Async Serial",4.3672852,0.00098958,"q","framing"
"Async Serial",4.36829778,0.00098958,"%",
"Async Serial",4.36929334,0.00098958,"L","framing"
"Async Serial",4.37031442,0.00098958,"\","framing"
"Async Serial",4.3713355,0.00098958,",","framing"
"Async Serial",4.37234808,0.00098958,"ü",
"Async Serial",4.37719824,0.00098958,"0",
"Async Serial",4.3782023,0.00098958,"y","framing"
"Async Serial",4.37922338,0.00098958,"q","framing"
"Async Serial",4.38023596,0.00098958,"%",
"Async Serial",4.38123152,0.00098958,"L","framing"
"Async Serial",4.3822526,0.00098958,"\","framing"
"Async Serial",4.38327368,0.00098958,",","framing"
"Async Serial",4.38428626,0.00098958,"ü",
"Async Serial",4.47923222,0.00098958,"0",
"Async Serial",4.48023628,0.00098958,"y","framing"
"Async Serial",4.48125736,0.00098958,"q","framing"
"Async Serial",4.48226994,0.00098958,"%",
"Async Serial",4.4832655,0.00098958,"L","framing"
"Async Serial",4.48428658,0.00098958,"\","framing"
"Async Serial",4.48530766,0.00098958,",","framing"
"Async Serial",4.48632024,0.00098958,".",
"Async Serial",4.4873158,0.00098958,"0",
"Async Serial",4.48831986,0.00098958,"Q","framing"
"Async Serial",4.48934094,0.00098958,"Q","framing"
"Async Serial",4.49035352,0.00098958,"4","framing"
"Async Serial",4.49138312,0.00098958,"ù","framing"
"Async Serial",4.49239568,0.00098958,"%",
"Async Serial",4.49339124,0.00098958,"","framing"
"Async Serial",4.4943953,0.00098958,".","framing"
"Async Serial",4.49539938,0.00098958,"p",
"Async Serial",4.49640344,0.00098958,"Ù","framing"
"Async Serial",4.49741602,0.00098958,"¤","framing"
"Async Serial",4.4984456,0.00098958,"Ù","framing"
"Async Serial",4.4994667,0.00098958,"q","framing"
"Async Serial",4.50047928,0.00098958,"7",
"Async Serial",4.54601432,0.00098958,"0",
"Async Serial",4.54701838,0.00098958,"y","framing"
"Async Serial",4.54803946,0.00098958,"q",
"Async Serial",4.54905204,0.00098958,".","framing"
"Async Serial",4.55007312,0.00098958,"%","framing"
"Async Serial",4.55110272,0.00098958,"É","framing"
"Async Serial",4.5521238,0.00098958,"Ñ","framing"
"Async Serial",4.5531449,0.00098958,"ý",
"Async Serial",4.6480483,0.00098958,"0",
"Async Serial",4.64905236,0.00098958,"ù","framing"
"Async Serial",4.65007344,0.00098958,"A","framing"
"Async Serial",4.65108602,0.00098958,"¯",
"Async Serial",4.65208158,0.00098958,".","framing"
"Async Serial",4.65310266,0.00098958,"M","framing"
"Async Serial",4.65412374,0.00098958,"<","framing"
"Async Serial",4.65514484,0.00098958,"ÿ",
"Async Serial",4.75008016,0.00098958,"0",
"Async Serial",4.75108422,0.00098958,"ù","framing"
"Async Serial",4.7520968,0.00098958,"­","framing"
"Async Serial",4.75311788,0.00098958,"$",
"Async Serial",4.75411344,0.00098958,"}","framing"
"Async Serial",4.7551175,0.00098958,"Ö","framing"
"Async Serial",4.75612158,0.00098958,"(",
"Async Serial",4.75712564,0.00098958,"ý",
"Async Serial",4.95222614,0.00098958,"0",
"Async Serial",4.95323022,0.00098958,"y","framing"
"Async Serial",4.9542513,0.00098958,"q","framing"
"Async Serial",4.95526388,0.00098958,"%",
"Async Serial",4.95625942,0.00098958,"L","framing"
"Async Serial",4.95728052,0.00098958,"\","framing"
"Async Serial",4.9583016,0.00098958,",","framing"
"Async Serial",4.95931418,0.00098958,"ü",
"Async Serial",5.05425906,0.00098958,"0",
"Async Serial",5.05526312,0.00098958,"y","framing"
"Async Serial",5.05628422,0.00098958,"q","framing"
"Async Serial",5.05729678,0.00098958,"%",
"Async Serial",5.05829234,0.00098958,"L","framing"
"Async Serial",5.05931344,0.00098958,"\","framing"
"Async Serial",5.06033452,0.00098958,",","framing"
"Async Serial",5.0613471,0.00098958,"ü",
"Async Serial",5.06619724,0.00098958,"0",
"Async Serial",5.0672013,0.00098958,"y","framing"
"Async Serial",5.0682224,0.00098958,"q","framing"
"Async Serial",5.06923496,0.00098958,"%",
"Async Serial",5.07023052,0.00098958,"L","framing"
"Async Serial",5.07125162,0.00098958,"\","framing"
"Async Serial",5.0722727,0.00098958,",","framing"
"Async Serial",5.07328528,0.00098958,"ü",
"Async Serial",5.1682291,0.00098958,"0",
"Async Serial",5.16923316,0.00098958,"y","framing"
"Async Serial",5.17025424,0.00098958,"q","framing"
"Async Serial",5.17126682,0.00098958,"%",
"Async Serial",5.17226238,0.00098958,"L","framing"
"Async Serial",5.17328346,0.00098958,"\","framing"
"Async Serial",5.17430454,0.00098958,",","framing"
"Async Serial",5.17531712,0.00098958,".",
"Async Serial",5.17631268,0.00098958,"0",
"Async Serial",5.17731674,0.00098958,"Q","framing"
"Async Serial",5.17833782,0.00098958,"Q","framing"
"Async Serial",5.1793504,0.00098958,"4","framing"
"Async Serial",5.18038,0.00098958,"ù","framing"
"Async Serial",5.18139256,0.00098958,"%",
"Async Serial",5.18238812,0.00098958,"","framing"
"Async Serial",5.1833922,0.00098958,".","framing"
"Async Serial",5.18439626,0.00098958,"p",
"Async Serial",5.18540032,0.00098958,"Ù","framing"
"Async Serial",5.1864129,0.00098958,"¤","framing"
"Async Serial",5.1874425,0.00098958,"Ù","framing"
"Async Serial",5.18846358,0.00098958,"q","framing"
"Async Serial",5.18947616,0.00098958,"7",
"Async Serial",5.23501546,0.00098958,"0",
"Async Serial",5.23601952,0.00098958,"y","framing"
"Async Serial",5.2370406,0.00098958,"q",
"Async Serial",5.23805318,0.00098958,".","framing"
"Async Serial",5.23907426,0.00098958,"%","framing"
"Async Serial",5.24010386,0.00098958,"É","framing"
"Async Serial",5.24112494,0.00098958,"Ñ","framing"
"Async Serial",5.24214602,0.00098958,"ý",
"Async Serial",5.33704838,0.00098958,"0",
"Async Serial",5.33805244,0.00098958,"ù","framing"
"Async Serial",5.33907352,0.00098958,"A","framing"
"Async Serial",5.3400861,0.00098958,"¯",
"Async Serial",5.34108166,0.00098958,".","framing"
"Async Serial",5.34210274,0.00098958,"M","framing"
"Async Serial",5.34312382,0.00098958,"<","framing"
"Async Serial",5.34414492,0.00098958,"ÿ",
"Async Serial",5.43907916,0.00098958,"0",
"Async Serial",5.44008322,0.00098958,"ù","framing"
"Async Serial",5.4410958,0.00098958,"­","framing"
"Async Serial",5.44211688,0.00098958,"$",
"Async Serial",5.44311244,0.00098958,"}","framing"
"Async Serial",5.44411652,0.00098958,"Ö","framing"
"Async Serial",5.44512058,0.00098958,"(",
"Async Serial",5.44612464,0.00098958,"ý",
"Async Serial",5.64121878,0.00098958,"0",
"Async Serial",5.64222284,0.00098958,"y","framing"
"Async Serial",5.64324392,0.00098958,"q","framing"
"Async Serial",5.6442565,0.00098958,"%",
"Async Serial",5.64525206,0.00098958,"L","framing"
"Async Serial",5.64627314,0.00098958,"\","framing"
"Async Serial",5.64729422,0.00098958,",","framing"
"Async Serial",5.6483068,0.00098958,"ü",
"Async Serial",5.7432602,0.00098958,"0",
"Async Serial",5.74426426,0.00098958,"y","framing"
"Async Serial",5.74528534,0.00098958,"q","framing"
"Async Serial",5.74629792,0.00098958,"%",
"Async Serial",5.74729348,0.00098958,"L","framing"
"Async Serial",5.74831456,0.00098958,"\","framing"
"Async Serial",5.74933566,0.00098958,",","framing"
"Async Serial",5.75034822,0.00098958,"ü",
"Async Serial",5.7551952,0.00098958,"0",
"Async Serial",5.75619926,0.00098958,"y","framing"
"Async Serial",5.75722034,0.00098958,"q","framing"
"Async Serial",5.75823292,0.00098958,"%",
